Reporting Area,MMWR Year,MMWR Week,"Rubella, Current week","Rubella, Current week, flag","Rubella, Previous 52 weeks Med","Rubella, Previous 52 weeks Med, flag","Rubella, Previous 52 weeks Max","Rubella, Previous 52 weeks Max, flag","Rubella, Cum 2015","Rubella, Cum 2015, flag","Rubella, Cum 2014","Rubella, Cum 2014, flag","Rubella, congenital syndrome, Current week","Rubella, congenital syndrome, Current week, flag","Rubella, congenital syndrome, Previous 52 weeks Med","Rubella, congenital syndrome, Previous 52 weeks Med, flag","Rubella, congenital syndrome, Previous 52 weeks Max","Rubella, congenital syndrome, Previous 52 weeks Max, flag","Rubella, congenital syndrome, Cum 2015","Rubella, congenital syndrome, Cum 2015, flag","Rubella, congenital syndrome, Cum 2014","Rubella, congenital syndrome, Cum 2014, flag","Salmonellosis, Current week","Salmonellosis, Current week, flag","Salmonellosis, Previous 52 weeks Med","Salmonellosis, Previous 52 weeks Med, flag","Salmonellosis, Previous 52 weeks Max","Salmonellosis, Previous 52 weeks Max, flag","Salmonellosis, Cum 2015","Salmonellosis, Cum 2015, flag","Salmonellosis, Cum 2014","Salmonellosis, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,302,,819,,1594,,302,,412,,,
NEW ENGLAND,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,1,,39,,86,,1,,16,,,
MID. ATLANTIC,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,28,,71,,185,,28,,50,,,
E.N. CENTRAL,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,27,,95,,203,,27,,49,,,
W.N. CENTRAL,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,14,,40,,79,,14,,24,,,
S. ATLANTIC,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,152,,229,,550,,152,,127,,,
DIST. OF COL.,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,5,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,6,,57,,157,,6,,30,,,
W.S. CENTRAL,2015,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,32,,138,,251,,32,,16,,,
MOUNTAIN,2015,1,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,7,,58,,91,,7,,33,,,
