Reporting Area,MMWR Year,MMWR Week,"Invasive Pneumococcal disease, All ages, Current week","Invasive Pneumococcal disease§, All ages, Current week, flag","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Med","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Med, flag","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Max","Invasive Pneumococcal disease§, All ages, Previous 52 weeks Max, flag","Invasive Pneumococcal disease§, All ages, Cum 2015","Invasive Pneumococcal disease§, All ages, Cum 2015, flag","Invasive Pneumococcal disease§, All ages, Cum 2014","Invasive Pneumococcal disease§, All ages, Cum 2014, flag","Invasive Pneumococcal disease§, Age LT 5, Current week","Invasive Pneumococcal disease§, Age LT 5, Current week, flag","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Med","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Med, flag","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Max","Invasive Pneumococcal disease§, Age LT 5, Previous 52 weeks Max, flag","Invasive Pneumococcal disease§, Age LT 5, Cum 2015","Invasive Pneumococcal disease§, Age LT 5, Cum 2015, flag","Invasive Pneumococcal disease§, Age LT 5, Cum 2014","Invasive Pneumococcal disease§, Age LT 5, Cum 2014, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Med","Legionellosis, Previous 52 weeks Med, flag","Legionellosis, Previous 52 weeks Max","Legionellosis, Previous 52 weeks Max, flag","Legionellosis, Cum 2015","Legionellosis, Cum 2015, flag","Legionellosis, Cum 2014","Legionellosis, Cum 2014, flag",Location 1,Location 2
UNITED STATES,2015,1,286,,247,,494,,286,,376,,12,,19,,33,,12,,14,,36,,78,,179,,36,,44,,,
NEW ENGLAND,2015,1,4,,21,,37,,4,,23,,,-,1,,3,,,-,1,,,-,4,,14,,,-,7,,,
E.N. CENTRAL,2015,1,74,,45,,74,,74,,69,,2,,3,,8,,2,,2,,11,,15,,48,,11,,11,,,
W.N. CENTRAL,2015,1,6,,9,,25,,6,,28,,,-,1,,4,,,-,1,,3,,3,,20,,3,,5,,,
S. ATLANTIC,2015,1,51,,46,,128,,51,,69,,4,,5,,9,,4,,2,,8,,17,,36,,8,,6,,,
DIST. OF COL.,2015,1,,-,1,,6,,,-,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,"DIST. OF COL.
",
E.S. CENTRAL,2015,1,40,,24,,51,,40,,51,,1,,1,,6,,1,,4,,1,,5,,19,,1,,,-,,
W.S. CENTRAL,2015,1,26,,35,,86,,26,,31,,2,,3,,10,,2,,2,,1,,6,,20,,1,,1,,,
MOUNTAIN,2015,1,30,,28,,79,,30,,74,,2,,2,,7,,2,,,-,1,,3,,12,,1,,2,,,
PACIFIC,2015,1,3,,3,,8,,3,,3,,,-,0,,2,,,-,,-,,-,6,,16,,,-,3,,,
AMER. SAMOA,2015,1,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,N,,-,,-,,N,,N,"AMER. SAMOA
",
C.N.M.I.,2015,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"C.N.M.I.
",
